"","county","precinct","white_reg","black_reg","other_reg","test"
"578","CUMBERLAND","CC03",486,715,296,0
"579","CUMBERLAND","CC04",852,192,118,0
"580","CUMBERLAND","CC05",326,1752,300,0
"581","CUMBERLAND","CC06",860,268,176,0
"582","CUMBERLAND","CC07",882,82,99,0
"583","CUMBERLAND","CC08",1011,198,82,0
"584","CUMBERLAND","CC10",544,548,143,0
"585","CUMBERLAND","CC12",1420,56,118,0
"586","CUMBERLAND","CC13",171,2216,341,0
"587","CUMBERLAND","CC14",1880,584,470,0
"588","CUMBERLAND","CC15",1954,511,281,0
"589","CUMBERLAND","CC16",52,2015,163,0
"590","CUMBERLAND","CC17",429,2231,328,0
"591","CUMBERLAND","CC18",1200,298,172,0
"592","CUMBERLAND","CC19",53,965,182,0
"593","CUMBERLAND","CC21",1209,2027,491,0
"594","CUMBERLAND","CC24",770,620,297,0
"595","CUMBERLAND","CC25",1030,791,365,0
"596","CUMBERLAND","CC26",1127,2008,627,0
"597","CUMBERLAND","CC27",1289,2220,814,0
"598","CUMBERLAND","CC29",958,1232,403,0
"599","CUMBERLAND","CC31",1095,816,320,0
"600","CUMBERLAND","CC32",319,952,233,0
"601","CUMBERLAND","CC33",958,1139,343,0
"602","CUMBERLAND","CC34",1287,414,425,0
"603","CUMBERLAND","CL57-1",1084,1801,635,0
"604","CUMBERLAND","CL57-2",749,1957,490,0
"605","CUMBERLAND","CU02",1157,702,341,0
"606","CUMBERLAND","EO61-1",2012,576,210,0
"607","CUMBERLAND","EO61-2",1202,634,134,0
"608","CUMBERLAND","G10A",2754,1310,814,0
"609","CUMBERLAND","G10B",1678,816,390,0
"610","CUMBERLAND","G10C",2273,683,509,0
"611","CUMBERLAND","G11A-1",785,1616,529,0
"612","CUMBERLAND","G11A-2",827,1455,476,0
"613","CUMBERLAND","G11B",2418,1157,1191,0
"614","CUMBERLAND","G1A",796,1454,415,0
"615","CUMBERLAND","G1B",2670,1060,392,0
"616","CUMBERLAND","G2A",1784,2312,536,0
