,county,precinct,white_reg,black_reg,other_reg,test
355,ROWAN,19A,3491,290,165,0
356,ROWAN,21,2129,381,118,1
357,ROWAN,22,833,12,11,0
358,ROWAN,23,1503,7,36,0
359,ROWAN,24,1144,69,42,0
360,ROWAN,25,3364,42,89,0
361,ROWAN,26,1765,19,32,0
362,ROWAN,27,1010,191,22,0
363,ROWAN,28,1405,771,130,0
364,ROWAN,29,1113,95,57,0
365,ROWAN,30,1847,306,190,0
366,ROWAN,31,1364,93,35,0
367,ROWAN,32,1291,259,74,0
368,ROWAN,33,1694,22,60,0
369,ROWAN,34,1764,875,168,1
370,ROWAN,35,769,523,76,0
371,ROWAN,36,1511,1287,150,0
372,ROWAN,38,1323,1504,145,0
373,ROWAN,39,1485,425,188,0
374,ROWAN,40,1774,798,115,0
375,ROWAN,41,1676,874,184,0
376,ROWAN,42,71,2667,218,1
377,ROWAN,44,2489,42,122,0
378,ROWAN,45,856,445,57,0
379,RUTHERFORD,03A,1907,78,69,0
380,RUTHERFORD,04A,1999,185,82,0
381,RUTHERFORD,05A,2543,209,143,0
382,RUTHERFORD,06A,2158,160,112,0
383,RUTHERFORD,09A,3143,91,135,1
384,RUTHERFORD,10A,1136,9,35,1
385,RUTHERFORD,11,5121,242,180,0
386,RUTHERFORD,13,2793,1116,269,0
387,RUTHERFORD,14,1831,442,158,0
388,RUTHERFORD,16A,2478,57,90,0
389,RUTHERFORD,18,1825,162,70,0
390,RUTHERFORD,19,1753,187,79,0
391,RUTHERFORD,27,3029,328,144,0
392,RUTHERFORD,28,1366,197,82,0
393,RUTHERFORD,29,1657,257,98,0
394,RUTHERFORD,30,2409,873,191,0
395,RUTHERFORD,34,1324,11,38,1
396,STANLY,2,1106,176,77,1
397,STANLY,3,1737,287,81,0
398,STANLY,7,1665,324,131,0
399,STANLY,8,326,1396,77,1
400,STANLY,10,1141,171,103,0
401,STANLY,11,1150,86,62,0
402,STANLY,12,897,20,57,0
403,STANLY,13,1601,73,59,0
404,STANLY,14,982,17,34,0
405,STANLY,15,948,334,38,0
406,STANLY,16,933,301,57,0
407,STANLY,17,1700,139,84,0
408,STANLY,18,1197,103,86,0
409,STANLY,19,1485,11,67,1
410,STANLY,20,2161,14,92,0
411,STANLY,21,1269,11,23,0
412,STANLY,22,1547,179,75,0
413,STANLY,23,2612,36,109,0
414,STANLY,24,2758,40,163,0
415,STANLY,25,2929,33,122,0
416,STANLY,26,1456,76,59,0
417,STANLY,27,2048,199,79,0
418,STANLY,28,1057,373,68,0
419,SWAIN,ALARKA,817,1,32,0
420,SWAIN,ALMOND,1283,5,43,0
421,SWAIN,BC1,2317,15,131,0
422,SWAIN,BC2,2431,22,139,1
423,SWAIN,WHCH,1464,80,1772,0
424,TRANSYLVANIA,B1,1648,44,86,0
425,TRANSYLVANIA,B2,1255,379,93,1
426,TRANSYLVANIA,B3,1797,69,85,0
427,TRANSYLVANIA,B4,1594,70,140,0
428,TRANSYLVANIA,BD,2342,128,79,1
429,TRANSYLVANIA,CC,2277,16,63,0
430,TRANSYLVANIA,CM,760,2,17,1
431,TRANSYLVANIA,DR,2290,13,85,0
432,TRANSYLVANIA,EF,943,3,19,0
433,TRANSYLVANIA,LR,1531,15,29,0
434,TRANSYLVANIA,PF,1237,187,116,0
435,TRANSYLVANIA,RE,2002,13,50,0
436,TRANSYLVANIA,TC1,822,0,24,0
437,TRANSYLVANIA,TC7,1606,4,37,0
438,TRANSYLVANIA,WC,1546,12,35,0
439,UNION,1,565,623,198,0
440,UNION,2,849,810,182,0
441,UNION,3,721,439,168,0
442,UNION,4,310,1014,233,0
443,UNION,5,2542,394,289,0
444,UNION,6,1671,142,109,0
445,UNION,7,2672,584,299,0
446,UNION,8,1408,1100,338,0
447,UNION,9,650,873,71,0
448,UNION,10,616,595,142,0
449,UNION,11,2353,42,46,0
450,UNION,12,2285,25,45,0
451,UNION,13,2592,17,55,1
452,UNION,14,1368,107,105,0
453,UNION,15,3698,351,383,1
454,UNION,16,4031,435,344,0
455,UNION,017A,2820,289,258,0
456,UNION,017B,3628,279,313,0
457,UNION,18,2450,101,162,0
458,UNION,19,4518,535,317,0
459,UNION,020A,3204,528,289,0
460,UNION,020B,3560,173,224,0
461,UNION,21,2177,131,85,0
462,UNION,22,2484,74,126,0
463,UNION,23,1849,224,136,0
464,UNION,24,2267,164,80,0
465,UNION,25,1715,218,102,0
466,UNION,26,1679,250,75,0
467,UNION,27,1585,234,48,0
468,UNION,028A,3900,398,539,0
469,UNION,028B,3026,166,485,1
470,UNION,028C,2998,209,300,0
471,UNION,028D,3373,322,424,0
472,UNION,029A,3512,733,629,0
473,UNION,029B,1555,140,140,0
474,UNION,029C,1949,167,142,0
475,UNION,30,3461,753,415,0
476,UNION,31,2923,534,371,0
477,UNION,32,2845,228,170,0
478,UNION,33,2153,281,98,0
479,UNION,34,2686,462,113,1
480,UNION,35,1907,70,95,0
481,UNION,36,1641,366,71,0
482,UNION,037A,3914,575,509,0
483,UNION,037B,1423,83,82,0
484,UNION,038A,2886,516,409,0
485,UNION,038B,2316,194,198,0
486,UNION,39,1983,176,103,0
487,UNION,40,3378,209,272,0
488,UNION,41,3238,193,344,0
489,UNION,42,1563,262,152,0
490,UNION,43,234,806,126,0
491,VANCE,CC,1663,777,97,0
492,VANCE,EH1,172,1886,117,0
493,VANCE,HTOP,243,484,24,0
494,VANCE,KITT,2324,1425,127,0
495,VANCE,MIDD,1320,1336,109,1
496,VANCE,NH,1507,1854,102,1
497,VANCE,NH1,233,1973,115,0
498,VANCE,NV,547,917,84,0
499,VANCE,SCRK,2094,1863,189,0
500,VANCE,SH1,490,1496,129,0
501,VANCE,SH2,360,403,35,0
502,VANCE,WH,2114,1501,180,0
503,WARREN,1,710,287,39,0
504,WARREN,2,606,213,30,1
505,WARREN,3,429,491,31,0
506,WARREN,4,309,475,27,1
507,WARREN,5,280,877,36,0
508,WARREN,6,386,783,45,0
509,WARREN,7,274,549,41,0
510,WARREN,8,112,477,586,1
511,WARREN,9,237,286,21,0
512,WARREN,10,453,1278,66,0
513,WARREN,11,96,240,30,0
514,WARREN,12,750,79,21,0
515,WARREN,13,340,286,25,0
516,WARREN,14,445,925,58,0
517,YANCEY,01 BUR,3164,66,81,0
518,YANCEY,02 CAN,1338,3,28,0
519,YANCEY,03 EGY,511,0,10,1
520,YANCEY,04 RAM,352,0,9,0
521,YANCEY,05 GRE,472,1,8,1
522,YANCEY,06 JAC,1350,6,31,0
523,YANCEY,07 BRU,382,1,8,0
524,YANCEY,08 CRA,2538,4,37,0
525,YANCEY,09 SOU,1800,4,53,0
526,YANCEY,10 PEN,505,1,14,0
527,YANCEY,11 PRI,1168,1,22,0
