guidename,runtime,obs,df,sig,assymmetry,i,time,loss
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,310,1575813887.2369184,4.160680349211786
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,320,1575813887.256864,1.6920225877136406
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,330,1575813887.2629287,2.3723964871853713
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,340,1575813887.2941716,1.9677301845991635
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,350,1575813887.304182,3.6916521351179297
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,360,1575813887.3309355,2.1672766364238942
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,370,1575813887.3380384,3.9469252054198187
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,380,1575813887.3536606,2.44638731187943
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,390,1575813887.3849034,2.5883565757633136
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,400,1575813887.4040325,1.3834664433649673
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,410,1575813887.4287913,2.915619465131158
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,420,1575813887.450733,2.572212743201889
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,430,1575813887.4778118,2.1507548620541215
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,440,1575813887.4934337,2.349171014797162
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,450,1575813887.5195644,2.4430175129597593
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,460,1575813887.5508075,4.156812288533388
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,470,1575813887.5820506,2.6499100361905015
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,480,1575813887.6041772,2.137025135137266
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,490,1575813887.632092,0.7947306273540329
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,500,1575813887.6633356,0.05153154249997893
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,510,1575813887.6789565,9.076087748080475
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,520,1575813887.7040873,1.843418624116691
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,530,1575813887.742871,2.809734128183702
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,540,1575813887.7629335,2.257634475652191
